list-none-none,1,10,1,30,82837,2761
list-none-none,1,100,1,300,105975,353
list-none-none,1,1000,1,3000,3157497,1052
list-none-none,1,10000,1,30000,629777561,20992
list-none-none,1,20000,1,60000,2970025070,49500
list-none-none,2,1,1,6,77385,12897
list-none-none,2,10,1,60,118640,1977
list-none-none,2,100,1,600,172014,286
list-none-none,2,1000,1,6000,13100611,2183
list-none-none,4,10,1,120,383413,3195
list-none-none,4,100,1,1200,290318,241
list-none-none,8,1,1,24,192799,8033
list-none-none,8,10,1,240,192494,802
list-none-none,8,100,1,2400,542241,225
list-none-none,8,1000,1,24000,102792645,4283
list-none-none,12,1000,1,36000,287516940,7986
list-i-none,2,1,1,6,120532,20088
list-i-none,2,2,1,12,58890,4907
list-i-none,2,4,1,24,75351,3139
list-i-none,2,8,1,48,75397,1570
list-i-none,2,16,1,96,78804,820
list-i-none,4,1,1,12,83233,6936
list-i-none,4,4,1,48,86194,1795
list-i-none,4,8,1,96,89086,927
list-i-none,8,4,1,96,198179,2064
list-i-none,8,8,1,192,161322,840
list-i-none,8,16,1,384,174962,455
list-i-none,12,1,1,36,229004,6361
list-d-none,2,1,1,6,108587,18097
list-d-none,2,2,1,12,103622,8635
list-d-none,2,4,1,24,106588,4441
list-d-none,2,8,1,48,74013,1541
list-d-none,2,16,1,96,92682,965
list-d-none,2,32,1,192,93049,484
list-d-none,4,1,1,12,85962,7163
list-d-none,4,2,1,24,104529,4355
list-d-none,4,4,1,48,89204,1858
list-d-none,4,8,1,96,86334,899
list-d-none,4,16,1,192,168126,875
list-d-none,4,32,1,384,146866,382
list-d-none,8,1,1,24,172111,7171
list-d-none,8,2,1,48,290602,6054
list-d-none,8,4,1,96,181565,1891
list-d-none,8,8,1,192,188360,981
list-d-none,8,16,1,384,201213,523
list-d-none,8,32,1,768,194346,253
list-d-none,12,1,1,36,218031,6056
list-d-none,12,16,1,576,319779,555
list-l-none,2,1,1,6,74458,12409
list-l-none,2,2,1,12,65107,5425
list-l-none,2,8,1,48,98986,2062
list-l-none,2,16,1,96,171376,1785
list-l-none,2,32,1,192,296561,1544
list-l-none,4,1,1,12,128641,10720
list-l-none,4,2,1,24,90351,3764
list-l-none,4,4,1,48,92102,1918
list-l-none,4,8,1,96,95509,994
list-l-none,4,16,1,192,231777,1207
list-l-none,4,32,1,384,738816,1924
list-l-none,8,1,1,24,169315,7054
list-l-none,8,2,1,48,216705,4514
list-l-none,8,4,1,96,187348,1951
list-l-none,8,8,1,192,208690,1086
list-l-none,8,16,1,384,659674,1717
list-l-none,8,32,1,768,3057664,3981
list-l-none,12,1,1,36,326239,9062
list-l-none,12,2,1,72,325626,4522
list-l-none,12,4,1,144,241684,1678
list-l-none,12,8,1,288,259588,901
list-l-none,12,16,1,576,1291670,2242
list-l-none,12,32,1,1152,6038922,5242
list-id-none,2,1,1,6,53322,8887
list-id-none,2,2,1,12,67455,5621
list-id-none,2,4,1,24,63845,2660
list-id-none,2,16,1,96,89617,933
list-id-none,4,1,1,12,84015,7001
