list-none-s,2,1000,1,6000,9162756,1527,488742
list-none-s,4,1000,1,12000,65997244,5499,3375220
list-none-s,8,1000,1,24000,626536617,26105,43080191
list-none-s,12,1000,1,36000,2594688414,72074,244533571
list-none-s,16,1000,1,48000,2656894156,55351,52167947
list-none-s,24,1000,1,72000,26779213607,371933,2310536041
list-id-none,1,1,4,3,115916,38638,0
list-id-none,1,2,4,6,46600,7766,0
list-id-none,1,4,4,12,44492,3707,0
list-id-none,1,8,4,24,42962,1790,0
list-id-none,1,16,4,48,54266,1130,0
list-id-none,4,1,4,12,103385,8615,0
list-id-none,4,2,4,24,96777,4032,0
list-id-none,4,4,4,48,88332,1840,0
list-id-none,4,8,4,96,96792,1008,0
list-id-none,8,1,4,24,182686,7611,0
list-id-none,8,2,4,48,173304,3610,0
list-id-none,8,4,4,96,162991,1697,0
list-id-none,12,1,4,36,250143,6948,0
list-id-none,12,2,4,72,265163,3682,0
list-id-none,12,4,4,144,282562,1962,0
list-id-none,12,8,4,288,300110,1042,0
list-id-none,12,16,4,576,271143,470,0
list-id-none,16,1,4,48,298207,6212,0
list-id-none,16,2,4,96,316511,3296,0
list-id-none,16,4,4,192,319249,1662,0
list-id-none,16,8,4,384,356076,927,0
list-id-m,1,10,4,30,83700,2790,801
list-id-m,1,20,4,60,125415,2090,1619
list-id-m,1,40,4,120,130600,1088,3428
list-id-m,1,80,4,240,123602,515,6751
list-id-m,4,10,4,120,100715,839,831
list-id-m,4,20,4,240,141035,587,3441
list-id-m,4,40,4,480,246954,514,12129
list-id-m,4,80,4,960,472774,492,38273
list-id-m,8,10,4,240,176566,735,927
list-id-m,8,20,4,480,261761,545,5148
list-id-m,8,40,4,960,668848,696,35323
list-id-m,8,80,4,1920,1601645,834,89180
list-id-m,12,10,4,360,335697,932,1584
list-id-m,12,20,4,720,390992,543,5297
list-id-m,12,40,4,1440,1041250,723,59242
list-id-m,12,80,4,2880,2993482,1039,209526
list-id-m,16,10,4,480,398793,830,863
list-id-m,16,20,4,960,724240,754,13080
list-id-m,16,40,4,1920,2198252,1144,92175
list-id-m,16,80,4,3840,3587820,934,256729
list-id-s,1,10,4,30,53621,1787,793
list-id-s,1,20,4,60,60324,1005,1628
list-id-s,1,40,4,120,84611,705,3488
list-id-s,1,80,4,240,130970,545,7908
list-id-s,4,10,4,120,106867,890,1033
list-id-s,4,20,4,240,124289,517,2273
list-id-s,4,40,4,480,284016,591,9925
list-id-s,4,80,4,960,325595,339,11770
list-id-s,8,10,4,240,222060,925,1603
list-id-s,8,20,4,480,208584,434,2342
list-id-s,8,40,4,960,401363,418,7938
list-id-s,8,80,4,1920,944230,491,34984
list-id-s,12,10,4,360,297893,827,868
list-id-s,12,20,4,720,304299,422,2483
list-id-s,12,40,4,1440,3518326,2443,11379
list-id-s,12,80,4,2880,6364623,2209,304893
list-id-s,16,10,4,480,370260,771,1047
list-id-s,16,20,4,960,439235,457,3162
list-id-s,16,40,4,1920,13012774,6777,107757
list-id-s,16,80,4,3840,49511944,12893,265618
list-none-m,1,1000,1,3000,3932744,1310,426528
list-none-m,1,1000,4,3000,1072094,357,103711
list-none-m,1,1000,8,3000,779451,259,70793
list-none-m,1,1000,16,3000,582628,194,50215
list-none-m,4,1000,1,12000,83476855,6956,9082092
list-none-m,4,1000,4,12000,13638333,1136,1422755
list-none-m,4,1000,8,12000,6942542,578,706177
list-none-m,4,1000,16,12000,3517894,293,351365
list-none-m,8,1000,1,24000,313430695,13059,20444419
list-none-m,8,1000,4,24000,53411238,2225,5717525
list-none-m,8,1000,8,24000,22596177,941,2271737
list-none-m,8,1000,16,24000,10722257,446,836970
list-none-m,12,1000,1,36000,650049387,18056,29787415
list-none-m,12,1000,4,36000,119461379,3318,12822222
list-none-m,12,1000,8,36000,48835425,1356,4307780
list-none-m,12,1000,16,36000,21971645,610,1544951
list-none-s,1,1000,1,3000,3835283,1278,399996
list-none-s,1,1000,4,3000,3363787,1121,343692
list-none-s,1,1000,8,3000,3885503,1295,405280
list-none-s,1,1000,16,3000,3983142,1327,417109
list-none-s,4,1000,1,12000,68859632,5738,3606187
list-none-s,4,1000,4,12000,34154378,2846,1467302
list-none-s,4,1000,8,12000,21119652,1759,1201848
list-none-s,4,1000,16,12000,21919960,1826,1367876
list-none-s,8,1000,1,24000,434969857,18123,27593747
list-none-s,8,1000,4,24000,40225941,1676,2379717
list-none-s,8,1000,8,24000,25468542,1061,827757
list-none-s,8,1000,16,24000,18666442,777,567386
list-none-s,12,1000,1,36000,920977120,25582,15827015
list-none-s,12,1000,4,36000,66281304,1841,1542320
list-none-s,12,1000,8,36000,39389216,1094,1280312
list-none-s,12,1000,16,36000,16512773,458,830745
list-none-m,1,1000,1,3000,3878740,1292,420264
list-none-m,2,1000,1,6000,23517237,3919,2603566
list-none-m,4,1000,1,12000,78853414,6571,3746910
list-none-m,8,1000,1,24000,315452443,13143,25941618
list-none-m,12,1000,1,36000,568885246,15802,26927914
list-none-m,16,1000,1,48000,1347352910,28069,131781118
list-none-m,24,1000,1,72000,2828912022,39290,129484734
list-none-s,1,1000,1,3000,3864118,1288,397464
list-none-s,2,1000,1,6000,9980227,1663,499355
list-none-s,4,1000,1,12000,99016715,8251,10421269
list-none-s,8,1000,1,24000,589732357,24572,38870971
list-none-s,12,1000,1,36000,2486441107,69067,212916449
list-none-s,16,1000,1,48000,2535922043,52831,53170885
list-none-s,24,1000,1,72000,14119144637,196099,304355672
list-id-none,1,1,4,3,124933,41644,0
list-id-none,1,2,4,6,117983,19663,0
list-id-none,1,4,4,12,124531,10377,0
list-id-none,1,8,4,24,52307,2179,0
list-id-none,1,16,4,48,88654,1846,0
list-id-none,4,1,4,12,180209,15017,0
list-id-none,4,2,4,24,90469,3769,0
list-id-none,4,4,4,48,92606,1929,0
list-id-none,4,8,4,96,103964,1082,0
list-id-none,4,16,4,192,103064,536,0
list-id-none,8,1,4,24,154502,6437,0
list-id-none,8,2,4,48,162732,3390,0
list-id-none,8,4,4,96,172989,1801,0
list-id-none,8,8,4,192,239345,1246,0
list-id-none,8,16,4,384,202039,526,0
list-id-none,12,1,4,36,228175,6338,0
list-id-none,12,2,4,72,317058,4403,0
list-id-none,12,8,4,288,297869,1034,0
list-id-none,12,16,4,576,279429,485,0
list-id-none,16,1,4,48,412025,8583,0
list-id-none,16,2,4,96,414082,4313,0
list-id-none,16,4,4,192,397042,2067,0
list-id-none,16,8,4,384,366773,955,0
list-id-m,1,10,4,30,69856,2328,817
list-id-m,1,20,4,60,83956,1399,1606
list-id-m,1,40,4,120,172478,1437,3356
list-id-m,1,80,4,240,188135,783,6868
list-id-m,4,10,4,120,107594,896,1774
list-id-m,4,20,4,240,147540,614,5815
list-id-m,4,40,4,480,262566,547,18030
list-id-m,4,80,4,960,449360,468,33633
list-id-m,8,10,4,240,201023,837,1284
list-id-m,8,20,4,480,299026,622,5183
list-id-m,8,40,4,960,762322,794,27304
list-id-m,8,80,4,1920,1365124,711,101892
list-id-m,12,10,4,360,254206,706,874
list-id-m,12,20,4,720,465292,646,14461
list-id-m,12,40,4,1440,988143,686,45893
list-id-m,12,80,4,2880,2743707,952,176470
list-id-m,16,10,4,480,393202,819,1909
list-id-m,16,20,4,960,571672,595,8007
list-id-m,16,40,4,1920,1590921,828,108960
list-id-m,16,80,4,3840,3586196,933,236046
